"KmeansGroup" "FoldChangeQ95" "SmExp1" "SmExp2" "SmExp3" "SmExp4" "SmExp5" "SmExp6" "SmExp7" "SmExp8" "SmExp9" "SmExp10" "SmExp11" "SmExp12" "SmExp13" "SmExp14" "SmExp15" "SmExp16" "SmExp17" "SmExp18" "SmExp19" "SmExp20" "SmExp21" "SmExp22" "SmExp23" "SmExp24" "SmExp25" "SmExp26" "SmExp27" "SmExp28" "SmExp29" "SmExp30" "SmExp31" "SmExp32" "SmExp33" "SmExp34" "SmExp35" "SmExp36" "SmExp37" "SmExp38" "SmExp39" "SmExp40" "SmExp41" "SmExp42" "SmExp43" "SmExp44" "SmExp45" "SmExp46" "SmExp47" "SmExp48" "SmExp49" "SmExp50"
"Wfdc1" 1 1.88578863313272 0.525775590253391 1.48515783405402 0.836153663473536 1.27550530285475 1.36069389305773 1.3335468913095 1.54039268540241 1.85901103633757 1.90769757596512 1.69865267374089 2.01786646432572 2.06858791620461 1.64467755522421 0.0957015634249732 0.383214933426043 -0.347126232982454 -0.618568410070557 -0.202455233616369 -0.54963644902813 -0.552937012732924 -0.556085756616888 -0.40410319707281 -0.112620327756304 -0.714909698783451 -0.652178857145551 -0.624838214063158 -0.632681805643176 -0.65906560613339 -0.655508135090083 -0.680087814998301 -0.662603900303688 -0.654178286637471 -0.659118486122704 -0.667114535365842 -0.698853144601249 -0.672897118586401 -0.6549774110826 -0.714909698783451 -0.714909698783451 -0.714909698783451 -0.714909698783451 -0.714909698783451 -0.706962192352281 -0.714909698783451 -0.714909698783451 -0.714909698783451 -0.714909698783451 -0.714909698783451 -0.714909698783451 -0.714909698783451
"H19" 1 1.85712442192177 0.136723974923441 1.04746866020404 1.1516359752619 1.90795523352068 2.18319757192464 2.08422668347479 1.5141707452328 1.69926213387538 1.81532699991971 1.28308831560903 1.71530910848103 1.81163567838512 1.10904948988906 0.0638630526396563 -0.0735113452527376 -0.445405373966554 -0.674148322597033 -0.279094857845046 -0.623533513201925 -0.621516666870366 -0.529309270907661 -0.438905227069257 -0.122702486614542 -0.643436140614894 -0.582965845554223 -0.524617543384827 -0.608635227878141 -0.493452272419761 -0.506187194553773 -0.553436018727827 -0.491934787722072 -0.520606559618639 -0.505439461131394 -0.600790123056102 -0.653020505497985 -0.650783007976539 -0.594849376395351 -0.713219051312961 -0.513231740797361 -0.744378291668856 -0.628612758954978 -0.792435686311305 -0.779881751518715 -0.80238300047114 -0.756611182303665 -0.814073102271003 -0.721249702329282 -0.807004810146402 -0.754602736049715 -0.814073102271003
"Cdh11" 1 1.73349667547288 1.6853194228148 1.60129543897579 1.24306439846023 0.357033880635917 0.123131271888317 0.627785651395674 1.32879731494255 1.14788010046453 1.28095715201353 1.75106023390777 1.79987922746237 2.20309047730217 1.9712885126904 0.382502995140431 -0.04185771477148 -0.10475485640356 -0.113461758767132 -0.137102408748155 0.0150092293783214 -0.314209456850541 -0.0300529116411791 0.0814042578894665 0.289607607120257 -0.190324683211592 -0.728606598305544 -0.155306082218017 -0.15686039037148 -0.328793464372315 -0.220497550916774 -0.14281934263565 -0.161688165699545 -0.322380333965783 -0.573701358083313 -0.401793368861622 -0.350130542774877 -0.369131401236957 -0.478860509048623 0.0506704984339916 -0.932365691017592 -1.25628641835984 -1.28328368151592 -0.889193135034617 -1.23156858960084 -1.28726173319554 -1.3427526735671 -1.3427526735671 -0.989061341178533 -1.29389631328634 -1.30197332308789 -1.20054587409395
"Shisa2" 1 1.53918601494176 1.18521880261753 0.637037382743778 1.80547636348363 1.32137233797361 2.21561084365002 2.07568052946081 1.70028504188813 1.74604174929214 1.89423065553717 1.67412579120845 1.132388243994 1.28092821031032 0.618850056852101 -0.458783609679202 -0.510416155331562 -0.834366687305599 -1.09672587880894 -0.876650747150781 -1.08273054805447 -0.987604667400132 -0.973496685859239 -0.836155055319963 -0.390516095581766 -0.961105609868169 -0.80290516505265 -0.766962984410282 -0.79138599285064 -0.796950624993492 -0.819858999261677 -0.773949916311161 -0.792353469354681 -0.691801994670848 -0.595724066373078 -0.485114771343979 -0.385453842927079 -0.601228049767064 -0.461254282758176 -0.295673711202861 -0.574956386693001 -0.348984818458146 -0.380953908819354 -0.331418247403904 0.0141130642565212 0.344211701688713 -0.107180587436609 -0.121638022290635 -0.645324693068992 0.236575134241865 -0.411555117617568 -0.430150530714845
"Epcam" 1 1.92060510368436 -0.122255211169292 0.866882005302183 1.13545944331253 2.23952682965876 -0.189433969236935 0.656076799352063 0.359978855311404 0.272656150562574 0.14928624996887 1.74404441382593 1.1722439815829 2.18064463764992 1.31346837582126 -0.705128666901071 -0.411409305296125 0.0910907294856289 -0.455161299248447 -0.173950283013459 0.212078455527736 -0.45220017614755 0.0881516784588767 -0.454543767730243 0.427540972433119 2.98049453079295 1.35969036281623 0.453943955970184 -0.853834781787144 -0.288871814060105 -0.825853417031374 -0.559839287204816 -0.375789366390481 -0.954220745919499 -0.816075638032473 -0.443211621972946 -0.225875923371878 -0.337456773881532 -0.612688161341667 -0.428082468706368 0.444084226792911 -1.21483919654718 -0.620173290705684 -1.13884216693328 -0.883462811498841 -1.06391324260052 -0.451067960455549 -1.21483919654718 -0.65307719921543 -0.876486445335753 -1.10392577333222 -1.16143779669535
"Mest" 1 1.42508165835675 1.60901461636687 1.57755280505628 1.44505857882345 1.3300416927036 1.22048149984461 1.3062271184385 1.5908591031266 1.55094609004821 1.30379704525932 1.57214124390414 1.19146358207457 1.27845691910176 1.21046094766008 0.846921548288211 0.574344067258831 0.144203267499797 -0.220554357025187 -0.0705142801729274 0.298026620737811 0.0377145812454009 -0.108974055412334 0.247526973389078 0.298506172491815 -0.478057414843499 -0.396781004017078 -0.41631249685858 -0.432085889918332 -0.513871631177434 -0.507680291428637 -0.475242779329623 -0.500450629769049 -0.48330628009775 -0.418005543441913 -0.548418584003995 -0.602022324768322 -0.550152256001647 -0.407394859473915 -0.648422378630781 -1.01597815099454 -1.36770396710829 -1.21742412622739 -1.16525567136472 -1.31893075267145 -1.29068063397187 -1.19022182457126 -1.11562541952843 -0.99148299515052 -1.23194449438944 -1.21482293089287 -1.16050810843391
"Car14" 1 1.83008608296307 1.23787153656287 1.51860107646373 1.71201513123594 0.970381702746241 1.05280718761428 1.42668520168248 1.54338026756566 1.89331211041733 1.96841494755577 1.77954036713989 1.5845515011951 2.12701105901376 1.0533294304619 0.0399822216810074 -0.0963796056071809 -0.371736670474222 -0.569052756766816 -0.368225613748008 -0.26715241082331 -0.39041123050715 -0.399903866764155 -0.23563287663995 -0.281110176432193 -0.855053438230075 -0.775076651705023 -0.64760563335493 -0.711254262242868 -0.628351253468135 -0.655329686602178 -0.660722570363879 -0.74160468548378 -0.707677736700889 -0.682790037584349 -0.682892750147166 -0.614210448985325 -0.510042923354235 -0.747583621301561 -0.838536312159565 -0.664007300919744 -0.421328762335287 -0.5499789045585 -0.274413577595317 -0.734930024350648 -0.835381748921207 -0.746563681082204 -0.855053438230075 -0.756505080873367 -0.817551726256299 -0.797221351040629 -0.846697008688828
"Hba-x" 1 2.0080721275039 1.66723285720529 1.90844259928555 1.7687041717528 2.13242648321154 2.04329356457925 2.03588236702319 1.94531746225728 1.90913295159822 1.10467124133667 1.97408183475809 0.165911462599799 -0.392328839935759 -0.465992822074591 -0.520865204621776 -0.539753123692774 -0.532261614614043 -0.536324963262876 -0.527269930377095 -0.539753123692774 -0.536082811032364 -0.492285922177426 -0.498157233914172 -0.512343996619924 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.539753123692774 -0.536168321083887 -0.539753123692774
"Tsc22d1" 1 0.902657144532236 1.50549983929764 1.70468382567468 1.60045673369646 1.1165073108179 1.15275365316048 1.49823241216546 1.53557791537804 1.36748073778448 1.64971188797774 1.80355916610035 1.74260497283084 1.79821411726111 1.81145850803713 0.190737952239759 0.129731445727337 -0.52151825572261 -0.844933276537436 -0.376435041480262 -0.523853743937748 -0.899812766298183 -0.44163586453907 -0.20145626303857 0.545173942367804 -0.782038907937945 -0.335593497039694 -0.548333313992789 -0.766495609688499 -0.854476558734252 -0.605994164649319 -0.470892986790811 -0.555866211158161 -0.718558139771834 -0.879974943454019 -0.676677184700187 -0.471013641574503 -0.659770649431424 -0.465626975822242 -0.633059861280967 -0.766198351211542 -0.830557787402718 -0.711495694172726 -0.567209677048277 -0.468397442593368 -0.971065480790345 -1.11160363532533 -0.992096009563998 0.00528705967727163 -1.12503075674248 -0.294790157286712 -0.987865775008688
"Fbn2" 1 1.80883275633513 0.825824116617894 1.25363417902976 0.601672537143744 0.632278083596775 0.1807991811144 0.600650302561739 0.992136510265859 0.845552393891514 0.471577214511395 1.13999073093638 2.2630861377668 2.88275374109533 2.77332130161888 0.626031365440494 0.932239039436513 0.276876291519064 -0.147106822397694 0.407778475786543 0.115689847989548 -0.0179918263230776 0.0553368415198257 0.292341706757326 0.776338799266796 -0.879004621758958 -0.72785386669313 -0.423088861509838 -0.480809605312223 -0.561848274202392 -0.515212285506811 -0.474836376072012 -0.479585759623885 -0.526191015940671 -0.511996019197956 -0.695825786701749 -0.791594141281166 -0.680252162365534 -0.691149477440147 -0.853808998253433 -0.790680757841791 -0.889930522369918 -0.866743092752205 -0.960742843789269 -0.954905073870614 -0.942729565730715 -0.986464676692871 -0.986464676692871 -0.986464676692871 -0.973351135716319 -0.971643954778709 -0.986464676692871
